index,field,pv,value,record_type
1952,error_sum,SR12A-PC-VSTR-10:ERCSUM,0,ai
1952,state,SR12A-PC-HSTR-10:STATE,2,ai
1952,state,SR12A-PC-VSTR-10:STATE,2,ai
1962,offset,SR12A-PC-Q2L-15:OFFSET1,0,ai
1964,enabled,SR12C-DI-EBPM-10:CF:ENABLED_S,1,ai
1966,error_sum,SR12A-PC-HSTR-11:ERCSUM,0,ai
1966,error_sum,SR12A-PC-VSTR-11:ERCSUM,0,ai
1966,state,SR12A-PC-HSTR-11:STATE,2,ai
1966,state,SR12A-PC-VSTR-11:STATE,2,ai
1968,offset,SR12A-PC-Q1L-16:OFFSET1,0,ai
1970,error_sum,SR12A-PC-HSTR-12:ERCSUM,0,ai
1970,error_sum,SR12A-PC-VSTR-12:ERCSUM,0,ai
1970,state,SR12A-PC-HSTR-12:STATE,2,ai
1970,state,SR12A-PC-VSTR-12:STATE,2,ai
1972,offset,SR12A-PC-Q0L-17:OFFSET1,0,ai
1980,enabled,SR12C-DI-EBPM-11:CF:ENABLED_S,1,ai
2026,enabled,SR13C-DI-EBPM-01:CF:ENABLED_S,1,ai
2034,offset,SR13A-PC-Q0L-01:OFFSET1,0,ai
2036,error_sum,SR13A-PC-HSTR-01:ERCSUM,0,ai
2036,error_sum,SR13A-PC-VSTR-01:ERCSUM,0,ai
2036,state,SR13A-PC-HSTR-01:STATE,2,ai
2036,state,SR13A-PC-VSTR-01:STATE,2,ai
2038,offset,SR13A-PC-Q1L-02:OFFSET1,0,ai
2040,error_sum,SR13A-PC-HSTR-02:ERCSUM,0,ai
2040,error_sum,SR13A-PC-VSTR-02:ERCSUM,0,ai
2040,state,SR13A-PC-HSTR-02:STATE,2,ai
2040,state,SR13A-PC-VSTR-02:STATE,2,ai
2042,enabled,SR13C-DI-EBPM-02:CF:ENABLED_S,1,ai
2047,offset,SR13A-PC-Q2L-03:OFFSET1,0,ai
2057,error_sum,SR13A-PC-HSTR-03:ERCSUM,0,ai
2057,error_sum,SR13A-PC-VSTR-03:ERCSUM,0,ai
2057,state,SR13A-PC-HSTR-03:STATE,2,ai
2057,state,SR13A-PC-VSTR-03:STATE,2,ai
2059,enabled,SR13C-DI-EBPM-03:CF:ENABLED_S,1,ai
2063,error_sum,SR13A-PC-HSTR-04:ERCSUM,0,ai
2063,error_sum,SR13A-PC-VSTR-04:ERCSUM,0,ai
2063,state,SR13A-PC-HSTR-04:STATE,2,ai
2063,state,SR13A-PC-VSTR-04:STATE,2,ai
2069,enabled,SR13C-DI-EBPM-04:CF:ENABLED_S,1,ai
2074,error_sum,SR13A-PC-HSTR-05:ERCSUM,0,ai
2074,state,SR13A-PC-HSTR-05:STATE,2,ai
2075,error_sum,SR13A-PC-VSTR-05:ERCSUM,0,ai
2075,state,SR13A-PC-VSTR-05:STATE,2,ai
2086,error_sum,SR13A-PC-HSTR-06:ERCSUM,0,ai
2086,error_sum,SR13A-PC-VSTR-06:ERCSUM,0,ai
2086,state,SR13A-PC-HSTR-06:STATE,2,ai
2086,state,SR13A-PC-VSTR-06:STATE,2,ai
2091,enabled,SR13C-DI-EBPM-05:CF:ENABLED_S,1,ai
2099,error_sum,SR13A-PC-HSTR-07:ERCSUM,0,ai
2099,error_sum,SR13A-PC-VSTR-07:ERCSUM,0,ai
2099,state,SR13A-PC-HSTR-07:STATE,2,ai
2099,state,SR13A-PC-VSTR-07:STATE,2,ai
2102,enabled,SR13C-DI-EBPM-06:CF:ENABLED_S,1,ai
2109,enabled,SR13C-DI-EBPM-07:CF:ENABLED_S,1,ai
2115,error_sum,SR13A-PC-HSTR-08:ERCSUM,0,ai
2115,error_sum,SR13A-PC-VSTR-08:ERCSUM,0,ai
2115,state,SR13A-PC-HSTR-08:STATE,2,ai
2115,state,SR13A-PC-VSTR-08:STATE,2,ai
2123,enabled,SR13C-DI-EBPM-08:CF:ENABLED_S,1,ai
2125,error_sum,SR13A-PC-HSTR-09:ERCSUM,0,ai
2125,error_sum,SR13A-PC-VSTR-09:ERCSUM,0,ai
2125,state,SR13A-PC-HSTR-09:STATE,2,ai
2125,state,SR13A-PC-VSTR-09:STATE,2,ai
2135,error_sum,SR13A-PC-HSTR-10:ERCSUM,0,ai
2135,error_sum,SR13A-PC-VSTR-10:ERCSUM,0,ai
2135,state,SR13A-PC-HSTR-10:STATE,2,ai
2135,state,SR13A-PC-VSTR-10:STATE,2,ai
2137,enabled,SR13C-DI-EBPM-09:CF:ENABLED_S,1,ai
2153,enabled,SR13C-DI-EBPM-10:CF:ENABLED_S,1,ai
2155,error_sum,SR13A-PC-HSTR-11:ERCSUM,0,ai
2155,error_sum,SR13A-PC-VSTR-11:ERCSUM,0,ai
2155,state,SR13A-PC-HSTR-11:STATE,2,ai
2155,state,SR13A-PC-VSTR-11:STATE,2,ai
2165,offset,SR13A-PC-Q2N-16:OFFSET1,0,ai
2167,error_sum,SR13A-PC-HSTR-12:ERCSUM,0,ai
2167,error_sum,SR13A-PC-VSTR-12:ERCSUM,0,ai
2167,state,SR13A-PC-HSTR-12:STATE,2,ai
2167,state,SR13A-PC-VSTR-12:STATE,2,ai
2169,offset,SR13A-PC-Q1N-17:OFFSET1,0,ai
2172,enabled,SR13C-DI-EBPM-11:CF:ENABLED_S,1,ai
2188,enabled,SR14C-DI-EBPM-01:CF:ENABLED_S,1,ai
2194,offset,SR14A-PC-Q1N-01:OFFSET1,0,ai
2196,error_sum,SR14A-PC-HSTR-01:ERCSUM,0,ai
2196,error_sum,SR14A-PC-VSTR-01:ERCSUM,0,ai
2196,state,SR14A-PC-HSTR-01:STATE,2,ai
2196,state,SR14A-PC-VSTR-01:STATE,2,ai
2198,offset,SR14A-PC-Q2N-02:OFFSET1,0,ai
2208,error_sum,SR14A-PC-HSTR-02:ERCSUM,0,ai
2208,error_sum,SR14A-PC-VSTR-02:ERCSUM,0,ai
2208,state,SR14A-PC-HSTR-02:STATE,2,ai
2208,state,SR14A-PC-VSTR-02:STATE,2,ai
2210,enabled,SR14C-DI-EBPM-02:CF:ENABLED_S,1,ai
2214,error_sum,SR14A-PC-HSTR-03:ERCSUM,0,ai
2214,error_sum,SR14A-PC-VSTR-03:ERCSUM,0,ai
2214,state,SR14A-PC-HSTR-03:STATE,2,ai
2214,state,SR14A-PC-VSTR-03:STATE,2,ai
2220,enabled,SR14C-DI-EBPM-03:CF:ENABLED_S,1,ai
2225,error_sum,SR14A-PC-HSTR-04:ERCSUM,0,ai
2225,error_sum,SR14A-PC-VSTR-04:ERCSUM,0,ai
2225,state,SR14A-PC-HSTR-04:STATE,2,ai
2225,state,SR14A-PC-VSTR-04:STATE,2,ai
2235,error_sum,SR14A-PC-HSTR-05:ERCSUM,0,ai
2235,error_sum,SR14A-PC-VSTR-05:ERCSUM,0,ai
2235,state,SR14A-PC-HSTR-05:STATE,2,ai
2235,state,SR14A-PC-VSTR-05:STATE,2,ai
